# 日常高频词组库（jieba 词频≥200 自动生成，86 全码规则，5239 词）
aaaw 葡萄牙人
ymtf 庙街
ymtk 高程
ymuq 市郊
ymwu 高僧
ymww 高耸
ymxe 市级
ymya 调度
ymym 高高 高亢
ymyt 高山族
ynad 房基
ynbb 扇子
ynet 雇用
ynfc 望去 忘却
ynfh 废墟
ynga 扇形
ynjf 房里
ynld 永固
ynng 永恒
ynnt 误导性
ynpy 永福
ynqe 鹿角
ynsg 刻本
yntd 方以智
yntf 启德
yntj 赢得 赢利
yntk 永和
ynuj 刻意
ynuk 户部
ynww 读书人 盲人
ynyg 雇主 词语
ynyn 麋鹿 望望
yopt 谢烟客
yosw 刘精松
ypdm 谌家矶
ypdq 毫克
ypdt 这帮
ypgy 唐家璇
ypic 谢富治
ypit 谭家渊
ypiy 谭家洲
ypmw 高家岭
ypsg 这本
ypwx 庹宗华
ypyt 说实话
ypyv 庹宗康
yqdg 方解石
yqrh 许多年
yquj 郭锡章
yquk 底部
yrjg 为的是
yrld 谢皇恩
yrmd 变质岩
yruy 玄岳门
yrwf 刘振伟
ysay 谢杏芳
ysdt 方李邦
ysdx 刘醒龙
ysgg 这样一来
ysoy 麻糖
yspe 谭家
yspg 郭柯宇
ysrm 磨制
ysry 这样的话
ysud 魔头
ysuj 床单
ysuu 订立
ysym 襄樊市
ysyy 郭树言
ytaa 文廷式
ytbs 高等院校
ytdf 高血压
ytfy 义务教育
ytgh 旗下 施政
ytgw 刘和珍
ytgy 施琅
ytik 旋涡
ytiy 放流
ytjj 许昌
ytld 谢恩
ytlf 义和团 放置
ytnt 放射性
ytpd 许智宏
ytpe 许家 谢家 旅行家
ytpy 旅行社 施礼
ytta 庭长 族长
yttf 施行 放行
yttm 放射
yttu 刘冬冬
yttx 刘黎敏
ytud 放养
ytwa 高利贷
ytwc 庞德公
ytww 族人 庄稼人 义务人
ytxa 郭生练
ytyg 施主 刘积斌
ytyh 旅店
ytyt 旌旗
ytyw 州府
yuaq 高新区
yugy 刘道玉
yuif 廉洁
yumq 高凌风
yuqa 说错
yuqf 调关镇
yurb 证券报
yuuq 麻辣酱
yuwv 这部分
yvfc 刘絮云
yvqk 京九铁路
yvvf 刘姥姥
yvxg 京九线
yvyf 唐诗
ywfy 文化教育
ywgj 庄公惠
ywhk 论战
ywhq 谢伏瞻
ywig 刘华清
ywkh 文化路
ywkq 文化史
ywnf 文化层
ywnn 文化局
ywog 刘合炳
ywon 论断
ywqt 谢佑卿
ywtd 谁知
ywtk 主任委员
ywuk 文化部
ywxg 刘体纯
ywxj 谕旨
ywyg 论证 论语
yxlf 训练团
yxww 率众
yxwy 畜禽
yyad 刘亦菲
yyah 文臣
yybp 该院
yydm 广布
yyfd 方城
yyft 方才 设计者 主义者
yyga 文武
yyia 庐江 文汇
yyig 刘郎浦
yyip 语言学 该党
yyje 刘应明
yyjg 设计师 该是
yylf 主席团
yylg 该车 该国
yymt 文峰
yynn 该书
yypd 郭永宏
yypf 唐玄宗
yypv 议案
yyqk 京广铁路
yyrq 高高的
yysg 广西
yysm 该机
yytd 唐良智
yytf 言行 文选 该行
yyth 该处
yytk 方程 议和
yytu 该科
yyup 文帝
yywf 座谈会
yywx 文华 访华
yyyl 文库
yyym 该市
yyyp 变废为宝
yyyw 议论 认识论
